Year,Tamil_Nadu,Tamil_Nadu,Gujarat,Gujarat,Tripura,Tripura,Jammu_and_Kashmir,Jammu_and_Kashmir,Jharkhand,Jharkhand,India,India,Nagaland,Nagaland,West_Bengal,West_Bengal,Uttarakhand,Uttarakhand,Andhra_Pradesh,Andhra_Pradesh,Karnataka,Karnataka,Assam,Assam,Kerala,Kerala,Puducherry,Puducherry,Andaman_and_Nicobar_Islands,Andaman_and_Nicobar_Islands,Meghalaya,Meghalaya,Rajasthan,Rajasthan,Arunachal_Pradesh,Arunachal_Pradesh,Goa,Goa,Punjab,Punjab,Delhi,Delhi,Maharashtra,Maharashtra,Bihar,Bihar,Manipur,Manipur,Sikkim,Sikkim,Uttar_Pradesh,Uttar_Pradesh,Mizoram,Mizoram,Himachal_Pradesh,Himachal_Pradesh,Lakshadweep,Lakshadweep,Daman_and_Diu,Daman_and_Diu,Haryana,Haryana,Dadra_and_Nagar_Haveli,Dadra_and_Nagar_Haveli,Madhya_Pradesh,Madhya_Pradesh,Chattisgarh,Chattisgarh,Chandigarh,Chandigarh,Odisha,Odisha
Year,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value
1979,0.04,4.842,0.48,16.55,0,0,0,0,0.27,19.015,2.17,169.97,0,0,0,0,5.2,51.769,0.07,21.644,0,0.15,0.24,26.142,0.1,0.217,0,0,0,0,0,0,0.18,23.63,0,0,0,0,0,0.44,0,0,0.09,5.044,0.27,19.015,0,0,0,0,5.2,51.769,0,0,0,0.005,0,0,0,0,0,0.006,0,0,0,0.022,0,0.022,0,0,0.18,0.5
1980,0.024,0.018,0.28,22.02,0,0,0,0.005,1,0,5.55,366.37,0,0,0.21,33.38,3.09,190.118,0.03,9.221,0.02,1.088,0.29,32.366,0.06,9.427,0,0,0,0,0,0,0,0,0,0,0,0,0.05,4.32,0,0.12,0,0.208,1,0,0.05,3.12,0,0,3.09,190.118,0,0,0,0.089,0,0,0,0,0.12,20.41,0,0,0,0,0,0,0,0,0.36,40.48
1981,0,0,0.23,8.432,0,0,0,0,0.77,72.132,3.27,524.56,0,0,0.09,28.75,1.64,365,0,0,0.05,1.034,0.07,7.011,0.09,15.113,0.009,0,0,0,0,0,0.25,24.8,0,0,0,0,0.02,1.63,0,0.022,0.01,0.345,0.77,72.132,0,0,0,0,1.64,365,0,0,0,0.004,0,0,0,0,0.01,0.24,0,0,0,0,0,0,0,0,0.04,0.06
1982,0,0.029,0,105.283,0.04,3.219,0,0,0.32,97.004,5,589.4,0,0,0.03,4.66,3.3,330.87,0.04,2.28,0.06,2.36,0.1,8.9,0,0.6,0,0,0,0,0,0,0.05,4.4,0,0,0,0,0,0,0,0,0,1.896,0.32,97.004,0.02,2.666,0,0,3.3,330.87,0,0,0,0,0,0,0,0,0,0,0,0,0,25.23,0,25.23,0,0,1.2,0
1983,0.22,102.544,0.22,37.516,0.05,15.431,0,0.229,0.37,23.434,3.29,1285.85,0,0,0.06,9.56,2.5,624.69,0.714,312.9,0.05,2.635,0.14,14.743,0,0.707,0,0,0,0,0,0.48,0.02,2.72,0,0.33,0,0,0.04,7.35,0.02,0.352,0,53.751,0.37,23.434,0,0.023,0.02,6.473,2.5,624.69,0,0,0.12,27.307,0,0,0,0,0.23,32.28,0,0,0.07,7.112,0.07,7.112,0,0,0.09,3.26
1984,0,45.098,0.45,4.231,0.02,7.515,0,0,1.59,185.439,5.19,906.09,0,0,0.49,124.67,1.04,260.37,0.4,136.69,0,0.14,0.49,48.985,0.05,8.708,0,0,0,0,0,8.58,0.14,30.37,0,0,0,0,0,0.56,0,0,0.01,1.713,1.59,185.439,0.01,1.857,0.01,7.634,1.04,260.37,0,0,0,0.025,0,0,0,0,0.03,1.9,0,0,0.03,1.139,0.03,1.139,0,0,0.42,30.45
1985,0.18,37.45,0,0.071,0.009,2.431,0,0.004,0.42,30.342,4.65,1425.37,0.004,0.541,0.04,2.85,2.42,967.53,0,0.094,0,0.03,0.08,1.979,0.09,161.5,0.011,4.37,0,0.015,0,1.5,0.1,1.95,0.004,0.449,0,0,0.14,42.12,0,0,0,0.126,0.42,30.342,0,3.681,0.01,1.032,2.42,967.53,0,0,0.39,79.551,0,0,0,0,0.12,25.6,0,0,0,0,0,0,0,0,0.63,60.15
1986,0.004,0,0,0.005,0,0.441,0,10.76,0.75,103.66,4.58,1231.58,0,0.464,0.42,139.5,0.65,258,1.34,451.61,0,0.011,0.32,98.01,0.05,57.66,0,0.1,0,0,0,0,0.23,40.63,0,0.318,0,0,0.05,5.95,0,0,0.04,6.902,0.75,103.66,0.04,33.481,0,1.1,0.65,258,0,0,0,0,0,0,0,0,0.01,2.37,0,0,0.18,11.16,0.18,11.16,0,0,0.79,9.44
1987,0,0,0,0.171,0,0,0.514,110.05,2.24,501.32,4.94,1154.64,0,0,0.67,244.22,0.321,128.33,0,0,0,0.01,0.99,139.04,0,0.04,0,0,0,0,0.095,2.35,0.08,0.36,0,0,0,0,0,0,0,0,0,0.69,2.24,501.32,0.027,27.42,0,0.63,0.321,128.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0
1988,0,0,1.49,26.96,0.01,4.21,0.14,47.12,0.4,49.87,10.15,2510.9,0,0,0.33,62.98,1.71,685.76,0.406,149.4,0.9,130.96,1.13,334.1,0.16,100.5,0,0,0.03,0.3,0.02,10.46,0.01,8.97,0.03,8.83,0,0,2.79,519.9,0,0,0.01,1.38,0.4,49.87,0,0,0,0.27,1.71,685.76,0,0,0.02,58.45,0,0,0,0,0.45,308.43,0,0,0,0,0,0,0,0,0.1,2.1
